chip_first,cable_first
191,63
190,62
189,61
188,60
187,59
186,58
185,57
184,56
183,55
182,54
181,53
180,52
179,51
178,50
177,49
176,48
175,47
174,46
173,45
172,44
171,43
170,42
169,41
128,0
129,1
130,2
131,3
132,4
133,5
134,6
135,7
136,8
137,9
138,10
139,11
140,12
141,13
142,14
143,15
144,16
145,17
146,18
147,19
148,20
149,21
150,22
151,23
152,24
153,25
154,26
155,27
156,28
157,29
158,30
159,31
160,32
161,33
162,34
163,35
164,36
165,37
166,38
167,39
168,40
192,64
193,65
194,66
195,67
196,68
197,69
198,70
199,71
200,72
201,73
202,74
203,75
204,76
205,77
206,78
207,79
208,80
209,81
210,82
211,83
212,84
213,85
214,86
215,87
216,88
217,89
218,90
219,91
220,92
221,93
222,94
223,95
224,96
225,97
226,98
227,99
228,100
229,101
230,102
231,103
232,104
233,105
234,106
235,107
236,108
237,109
238,110
239,111
240,112
241,113
242,114
243,115
244,116
245,117
246,118
247,119
248,120
249,121
250,122
251,123
252,124
253,125
254,126
255,127
64,192
65,193
66,194
67,195
68,196
69,197
70,198
71,199
72,200
73,201
74,202
75,203
76,204
77,205
78,206
79,207
80,208
81,209
82,210
83,211
84,212
85,213
86,214
87,215
88,216
89,217
90,218
91,219
92,220
93,221
94,222
95,223
96,224
97,225
98,226
99,227
100,228
101,229
102,230
103,231
104,232
105,233
106,234
107,235
108,236
109,237
110,238
111,239
112,240
113,241
114,242
115,243
116,244
117,245
118,246
119,247
120,248
121,249
122,250
123,251
124,252
125,253
126,254
127,255
23,151
24,152
25,153
26,154
27,155
28,156
29,157
30,158
31,159
32,160
33,161
34,162
35,163
36,164
37,165
38,166
39,167
40,168
41,169
42,170
43,171
44,172
45,173
46,174
47,175
48,176
49,177
50,178
51,179
52,180
53,181
54,182
55,183
56,184
57,185
58,186
59,187
60,188
61,189
62,190
63,191
22,150
21,149
20,148
19,147
18,146
17,145
16,144
15,143
14,142
13,141
12,140
11,139
10,138
9,137
8,136
7,135
6,134
5,133
4,132
3,131
2,130
1,129
0,128